문제 내용,선택지1,선택지2,선택지3(선택),선택지4(선택),정답번호,문제시간(초)
1 × ? = 10,1,10,5,9,2,18
2 × ? = 10,5,2,10,3,1,18
5 × ? = 10,5,2,4,1,2,18
10 × ? = 10,10,2,9,1,4,18
? × 2 = 10,2,10,3,5,4,18
? × 5 = 10,5,4,2,1,3,18
1 × ? = 100,1,50,99,100,4,22
2 × ? = 100,2,100,50,25,3,22
4 × ? = 100,25,4,50,13,1,22
5 × ? = 100,5,40,10,20,4,22
10 × ? = 100,20,10,5,100,2,22
20 × ? = 100,20,10,5,3,3,22
25 × ? = 100,25,4,8,2,2,22
50 × ? = 100,50,2,4,1,2,22
100 × ? = 100,100,2,99,1,4,22
? × 2 = 100,2,100,25,50,4,22
? × 4 = 100,4,25,50,13,2,22
? × 5 = 100,5,40,20,10,3,22
? × 10 = 100,20,5,10,100,3,22
? × 20 = 100,20,5,10,3,2,22
? × 25 = 100,25,8,4,2,3,22
? × 50 = 100,50,4,2,1,3,22
1 × ? = 1000,1,1000,500,999,2,22
2 × ? = 1000,500,2,1000,250,1,22
4 × ? = 1000,4,500,250,125,3,22
5 × ? = 1000,5,200,400,100,2,22
8 × ? = 1000,8,250,125,63,3,22
10 × ? = 1000,10,200,50,100,4,22
20 × ? = 1000,50,20,100,25,1,22
25 × ? = 1000,25,80,20,40,4,22
40 × ? = 1000,40,50,25,13,3,22
50 × ? = 1000,50,40,10,20,4,22
100 × ? = 1000,100,10,20,5,2,22
125 × ? = 1000,8,125,16,4,1,22
200 × ? = 1000,5,200,10,3,1,22
250 × ? = 1000,250,4,8,2,2,22
500 × ? = 1000,500,2,4,1,2,22
1000 × ? = 1000,1000,2,999,1,4,22
? × 2 = 1000,2,1000,250,500,4,22
? × 4 = 1000,4,250,500,125,2,22
? × 5 = 1000,5,400,200,100,3,22
? × 8 = 1000,8,125,250,63,2,22
? × 10 = 1000,10,200,100,50,3,22
? × 20 = 1000,20,50,100,25,2,22
? × 25 = 1000,25,80,40,20,3,22
? × 40 = 1000,40,50,13,25,4,22
? × 50 = 1000,50,40,20,10,3,22
? × 100 = 1000,100,20,10,5,3,22
? × 125 = 1000,125,16,4,8,4,22
? × 200 = 1000,200,10,3,5,4,22
? × 250 = 1000,250,8,4,2,3,22
? × 500 = 1000,500,4,2,1,3,22
