문제 내용,선택지1,선택지2,선택지3(선택),선택지4(선택),정답번호,문제시간(초)
0 + ? = 100,0,95,100,90,3,20
5 + ? = 100,5,95,100,90,2,20
10 + ? = 100,10,95,85,90,4,20
15 + ? = 100,85,15,90,80,1,20
20 + ? = 100,80,20,85,75,1,20
25 + ? = 100,25,80,70,75,4,20
30 + ? = 100,30,70,75,65,2,20
35 + ? = 100,35,70,65,60,3,20
40 + ? = 100,40,65,60,55,3,20
45 + ? = 100,45,55,60,50,2,20
50 + ? = 100,55,45,60,50,4,20
55 + ? = 100,45,55,50,40,1,20
60 + ? = 100,40,60,45,35,1,20
65 + ? = 100,65,40,30,35,4,20
70 + ? = 100,70,30,35,25,2,20
75 + ? = 100,75,30,25,20,3,20
80 + ? = 100,80,25,20,15,3,20
85 + ? = 100,85,15,20,10,2,20
90 + ? = 100,90,15,5,10,4,20
95 + ? = 100,5,95,10,0,1,20
100 + ? = 100,100,0,5,10,2,20
? + 5 = 100,95,5,100,90,1,20
? + 10 = 100,90,10,95,85,1,20
? + 15 = 100,15,90,80,85,4,20
? + 20 = 100,20,85,75,80,4,20
? + 25 = 100,75,25,80,70,1,20
? + 30 = 100,30,75,70,65,3,20
? + 35 = 100,35,65,70,60,2,20
? + 40 = 100,40,60,65,55,2,20
? + 45 = 100,45,60,55,50,3,20
? + 50 = 100,50,55,45,65,1,20
? + 55 = 100,55,50,40,45,4,20
? + 60 = 100,60,45,35,40,4,20
? + 65 = 100,35,65,40,30,1,20
? + 70 = 100,70,35,30,25,3,20
? + 75 = 100,75,25,30,20,2,20
? + 80 = 100,80,20,25,15,2,20
? + 85 = 100,85,20,15,10,3,20
? + 90 = 100,10,90,15,5,1,20
? + 95 = 100,95,10,0,5,4,20
